image_name,pod_count,seed_count,split_count
67361811.JPG,41,0,0
67361843.JPG,30,0,0
67361759.JPG,33,0,0
67363385.JPG,45,0,0
67361873.JPG,44,0,0
67361747.JPG,15,0,0
67361441.JPG,38,0,0
67361719.JPG,42,0,0
67361327.JPG,37,0,0
67361305.JPG,45,0,0
67361779.JPG,41,0,0
67361563.JPG,42,0,0
67363163.JPG,36,0,0
67363337.JPG,28,0,0
67361749.JPG,33,0,0
67361805.JPG,28,0,0
67361765.JPG,43,0,0
67361905.JPG,32,0,0
67362523.JPG,37,0,0
67361309.JPG,49,0,0
67361763.JPG,34,0,0
67361751.JPG,38,0,0
67361457.JPG,43,0,0
67361867.JPG,32,0,0
67361321.JPG,31,0,0
67361319.JPG,36,0,0
67362491.JPG,38,0,0
67361813.JPG,42,0,0
67361869.JPG,37,0,0
67361301.JPG,30,0,0
67362521.JPG,37,0,0
67361739.JPG,25,0,0
67361331.JPG,52,0,0
67361665.JPG,27,0,0
67361737.JPG,38,0,0
67361483.JPG,34,0,0
67361297.JPG,43,0,0
67361375.JPG,34,0,0
67362505.JPG,38,0,0
67361571.JPG,41,0,0
67361341.JPG,35,0,0
67361969.JPG,43,0,0
67361757.JPG,56,0,0
67361745.JPG,27,0,0
67362287.JPG,32,0,0
67361227.JPG,30,0,0
67361343.JPG,62,0,0
67362283.JPG,34,0,0
67362013.JPG,42,0,0
67361349.JPG,51,0,0
67361515.JPG,40,0,0
67362081.JPG,51,0,0
67362011.JPG,49,0,0
67361723.JPG,35,0,0
67361225.JPG,41,0,0
67361835.JPG,40,0,0
67361705.JPG,52,0,0
67361967.JPG,31,0,0
67361903.JPG,28,0,0
67361663.JPG,35,0,0
67361363.JPG,76,0,0
67361367.JPG,23,0,0
67361605.JPG,32,0,0
67361997.JPG,40,0,0
67361405.JPG,52,0,0
67361531.JPG,45,0,0
67362571.JPG,35,0,0
67361709.JPG,33,0,0
67361549.JPG,43,0,0
67361661.JPG,61,0,0
67361535.JPG,39,0,0
67362035.JPG,46,0,0
67361807.JPG,32,0,0
67361533.JPG,32,0,0
67362229.JPG,41,0,0
67361329.JPG,35,0,0
